,portfolio_basis,portfolio_delta,percent_change
2016-07-18,219126752.71000004,-43757331.53999999,-0.1996895906083634
2016-07-19,219141752.71000004,-44004224.05000001,-0.20080255590650836
2016-07-20,219141752.71000004,-43713570.74999999,-0.199476230382478
2016-07-21,219141752.71000004,-43912566.22,-0.20038429772947666
2016-07-22,219186752.71000004,-43829132.730000004,-0.19996250771591623
2016-07-23,219186752.71000004,-32869515.589999996,-0.14996123252708043
2016-07-24,219186752.71000004,-32869515.589999996,-0.14996123252708043
2016-07-25,219186752.71000004,-44316168.18000001,-0.20218451905546275
2016-07-26,219246752.71000004,-44887772.86000001,-0.20473631789371827
2016-07-27,219276752.71000004,-44965361.150000006,-0.20506214450132806
2016-07-28,219276752.71000004,-45072208.16000001,-0.20554941462312393
2016-07-29,219331669.44000003,-44728734.31,-0.20393194664592618
2016-07-30,219346669.44000003,-32869515.589999996,-0.14985190189537437
2016-07-31,219346669.44000003,-32869515.589999996,-0.14985190189537437
2016-08-01,219346669.44000003,-44935236.650000006,-0.2048594435681257
2016-08-02,219361669.44000003,-45573553.31,-0.207755317628385
2016-08-03,219361669.44000003,-44964440.49,-0.2049785662408022
2016-08-04,219361669.44000003,-45095963.870000005,-0.20557813944944783
2016-08-05,219361669.44000003,-44208161.86,-0.20153093278719714
2016-08-06,219361669.44000003,-32869515.589999996,-0.14984165498881968
2016-08-07,219361669.44000003,-32869515.589999996,-0.14984165498881968
2016-08-08,219361669.44000003,-44087446.45,-0.20098062967221736
2016-08-09,219511669.44000003,-44048528.35,-0.2006659985884712
2016-08-10,219511669.44000003,-44485307.91000001,-0.2026557769046504
2016-08-11,219511669.44000003,-43233746.18000001,-0.19695420425845403
2016-08-12,219526669.44000003,-43701783.56999999,-0.19907277635779172
2016-08-13,219526669.44000003,-32879060.389999997,-0.14977251043744524
2016-08-14,219526669.44000003,-32879060.389999997,-0.14977251043744524
2016-08-15,219526669.44000003,-43595971.33,-0.19859077460251562
2016-08-16,219526669.44000003,-44345484.470000006,-0.20200499822241552
2016-08-17,219626669.44000003,-43939425.089999996,-0.20006415979460018
2016-08-18,219647888.42000005,-44032932.71999999,-0.2004705487348112
2016-08-19,219692888.42000005,-44109235.69,-0.2007768025957842
2016-08-20,219692888.42000005,-32860486.229999997,-0.14957464698255793
2016-08-21,219692888.42000005,-32860486.229999997,-0.14957464698255793
2016-08-22,219692888.42000005,-44157680.97,-0.2009973162425773
2016-08-23,219992888.42000005,-43970415.779999994,-0.1998719872073944
2016-08-24,220092888.42000005,-44735706.45,-0.20325830048916213
2016-08-25,220092888.42000005,-45008367.29,-0.20449714487871679
2016-08-26,220092888.42000005,-45421416.23,-0.20637384767890807
2016-08-27,220092888.42000005,-32780538.709999997,-0.14893956340581696
2016-08-28,220092888.42000005,-32780538.709999997,-0.14893956340581696
2016-08-29,220092888.42000005,-44481360.64000001,-0.2021026711009257
2016-08-30,220092888.42000005,-44627077.599999994,-0.20276474137973416
2016-08-31,220092888.42000005,-45197345.34000001,-0.20535577348483236
2016-09-01,220092888.42000005,-44759042.7,-0.20336432958518394
2016-09-02,220107888.42000005,-44114148.769999996,-0.20042057141461167
2016-09-03,220122888.42000005,-32780538.709999997,-0.1489192648038213
2016-09-04,220122888.42000005,-32780538.709999997,-0.1489192648038213
2016-09-05,220122888.42000005,-32774877.669999998,-0.14889354716927347
2016-09-06,220122888.42000005,-43812222.89000001,-0.19903528980777854
2016-09-07,220167888.42000005,-43929547.70999999,-0.19952749706259815
2016-09-08,220182888.42000005,-43995244.89000001,-0.19981227971757207
2016-09-09,220182888.42000005,-46651750.040000014,-0.2118772733647292
2016-09-10,220182888.42000005,-32780538.709999997,-0.14887868419398215
2016-09-11,220182888.42000005,-32780538.709999997,-0.14887868419398215
2016-09-12,220182888.42000005,-45440527.86,-0.20637629102821992
2016-09-13,220272888.42000005,-46869147.480000004,-0.21277764965170556
2016-09-14,220335278.99000004,-46882561.32000001,-0.21277827833520832
2016-09-15,220335278.99000004,-46136121.349999994,-0.20939053229008275
2016-09-16,220335278.99000004,-46841159.29,-0.21259037365562278
2016-09-17,220337399.01000002,-32780538.709999997,-0.14877428369984638
2016-09-18,220337399.01000002,-32780538.709999997,-0.14877428369984638
2016-09-19,220337399.01000002,-46340495.47,-0.2103160683488727
2016-09-20,220337399.01000002,-46278898.48,-0.21003651076910293
2016-09-21,220352399.01000002,-45080949.940000005,-0.20458570064378626
2016-09-22,220417399.01000002,-44758666.370000005,-0.20306321810815564
2016-09-23,220492399.01000002,-46240276.050000004,-0.20971369651569197
2016-09-24,220542399.01000002,-32774344.209999997,-0.14860790649381625
2016-09-25,220542399.01000002,-32774344.209999997,-0.14860790649381625
2016-09-26,220542399.01000002,-47060513.94,-0.2133853361133799
2016-09-27,220542399.01000002,-46585940.81000001,-0.21123349078962214
2016-09-28,220542399.01000002,-45669883.06000001,-0.20707983256284979
2016-09-29,220617399.01000002,-46838281.059999995,-0.2123054721440032
2016-09-30,220617399.01000002,-46235677.62000001,-0.20957403100334923
2016-10-01,220738960.78000003,-32774209.639999997,-0.14847496574319966
2016-10-02,220738960.78000003,-32774209.639999997,-0.14847496574319966
2016-10-03,220738960.78000003,-46621800.95000001,-0.21120784833478368
2016-10-04,220755327.14000002,-47690621.980000004,-0.216033844337334
2016-10-05,245755327.14,-47172396.92999999,-0.1919486241823242
2016-10-06,245870327.14,-47837786.74999999,-0.19456510798377422
2016-10-07,245889318.82,-48320046.05,-0.19651136650377254
2016-10-08,245896362.97,-32791414.989999995,-0.13335461571670595
2016-10-09,245896362.97,-32791414.989999995,-0.13335461571670595
2016-10-10,245896362.97,-48022806.77000001,-0.19529693806759932
2016-10-11,245896362.97,-49533642.98000001,-0.20144113715924805
2016-10-12,245896362.97,-49473452.16000001,-0.20119635590558085
2016-10-13,245896362.97,-49400849.26,-0.20090109777681842
2016-10-14,245896362.97,-49396870.260000005,-0.20088491616293874
2016-10-15,245896362.97,-32779185.849999994,-0.13330488281357436
2016-10-16,245896362.97,-32779185.849999994,-0.13330488281357436
2016-10-17,245896362.97,-49657944.040000014,-0.2019466389832631
2016-10-18,245957552.87,-49467693.29000001,-0.20112288772097997
2016-10-19,246260963.41,-49136313.6,-0.19952944599746786
2016-10-20,246260963.41,-49518474.7,-0.201081300155383
2016-10-21,246265963.41,-49358972.47000001,-0.2004295347458305
2016-10-22,246265963.41,-32777344.069999997,-0.13309733759443682
2016-10-23,246265963.41,-32777344.069999997,-0.13309733759443682
2016-10-24,246265963.41,-48356546.74999999,-0.19635903427504023
2016-10-25,246265963.41,-50015180.220000006,-0.2030941650541102
2016-10-26,246265963.41,-50301909.450000025,-0.2042584722365959
2016-10-27,246445963.41,-50872461.660000004,-0.20642440621097127
2016-10-28,246445963.41,-50817939.580000006,-0.20620317280448497
2016-10-29,246445963.41,-32780277.609999996,-0.1330120289106341
2016-10-30,246445963.41,-32780277.609999996,-0.1330120289106341
2016-10-31,246445963.41,-51483587.85,-0.20890416356444555
2016-11-01,246550963.41,-52484547.95,-0.21287504710627
2016-11-02,246550963.41,-52640272.7,-0.21350665992921825
2016-11-03,246550963.41,-52697070.35999999,-0.21373702877148287
2016-11-04,246550963.41,-52653052.2,-0.21355849302621066
2016-11-05,246550963.41,-32779235.909999996,-0.13295115726435033
2016-11-06,246550963.41,-32779235.909999996,-0.13295115726435033
2016-11-07,246550963.41,-50157343.2,-0.20343600570966433
2016-11-08,246830963.41,-49347633.93000001,-0.19992481189659675
2016-11-09,246860963.41,-48244998.11000001,-0.19543388895340294
2016-11-10,246860963.41,-46730031.67000001,-0.18929696710446783
2016-11-11,246990501.49,-46292868.960000016,-0.1874277297334622
2016-11-12,247035501.49,-32780602.269999996,-0.13269591646659318
2016-11-13,247035501.49,-32780602.269999996,-0.13269591646659318
2016-11-14,247035501.49,-46519071.73,-0.188309256966789
2016-11-15,247100501.49,-46034369.75,-0.18629816399568488
2016-11-16,247265501.49,-46581738.45000001,-0.1883875355409573
2016-11-17,247265501.49,-46384543.970000006,-0.18759003455998047
2016-11-18,247280501.49,-46466027.77,-0.18790817508868196
2016-11-19,247540501.49,-32938756.25,-0.1330641089103984
2016-11-20,247540501.49,-32938756.25,-0.1330641089103984
2016-11-21,247540501.49,-45975469.53,-0.18572907969913477
2016-11-22,247540501.49,-45670813.30000001,-0.18449834683656804
2016-11-23,247540501.49,-45660607.27999999,-0.1844571171390495
2016-11-24,247790501.49,-32850664.910000004,-0.13257435096367381
2016-11-25,247790501.49,-44608921.510000005,-0.18002676148504534
2016-11-26,247890501.49,-32858688.130000003,-0.13255323593480056
2016-11-27,247890501.49,-32858688.130000003,-0.13255323593480056
2016-11-28,247890501.49,-45134635.38999999,-0.18207488838300948
2016-11-29,247995501.49,-45156971.800000004,-0.18208786662939078
2016-11-30,247995501.49,-45466367.68000001,-0.1833354532918145
2016-12-01,248010501.49,-45688174.27,-0.18421870846401311
2016-12-02,248290501.49,-46608355.120000005,-0.1877170284014154
2016-12-03,248320501.49,-32903397.73,-0.13250375032496073
2016-12-04,248320501.49,-32903397.73,-0.13250375032496073
